Category,Value,Order,Question,Answer
MULTIPLE TONY WINNERS,$400,27,"This Oscar-less actress won Tonys for ""The Real Thing"", ""Death and the Maiden"" & ""Sunset Boulevard""",(Glenn) Close
MULTIPLE TONY WINNERS,$600,28,"Seen here after his 1981 win for ""The Pirates of Penzance"", he also won for ""On the 20th Century""",(Kevin) Kline
MULTIPLE TONY WINNERS,$800,29,"The playwright of ""The Cocktail Party"" also won best play for this poetic musical",Cats by T.S. Eliot
MULTIPLE TONY WINNERS,$1000,30,Her mom won a special Oscar & a Tony; she won 3 Tonys & an Oscar,
PICTURESQUE,$400,2,Yousuf Karsh created definitive portraiture immortalizing such subjects as Winston Churchill and this author,Ernest Hemingway
PICTURESQUE,$800,8,"This magazine photojournalist, seen here, interviewed Gandhi hours before his death",Margaret Bourke-White
PICTURESQUE,$1200,11,"Unable to sell his paintings in Paris, this surrealist returned to photography, including the image seen here",Man Ray
PICTURESQUE,$1600,12,"This photographer, whose work is seen here, was the first African-American to direct a film for a major studio",Gordon Parks
PICTURESQUE,$2000,13,"Seen here, this jazz trumpeter was later the subject of ""Let's Get Lost,"" a film by photographer Bruce Weber",Chet Baker
PRECIOUS STONES,$200,11,Mother of this!  It's a type of handle a revolver can have,pearl
PRECIOUS STONES,$400,17,"A David Caruso film, or a valuable stone found in Chinese carvings from 1400 B.C.",jade
PRECIOUS STONES,$600,18,You might need one to pay your hospital bills if you take a fall on a double this ski trail,diamond
PRECIOUS STONES,$800,19,"The ancient Greeks raised a toast to this purple gem, believed to protect them from drunkenness",amethyst
PRECIOUS STONES,$1000,20,"Sounding like a noted political writer for the N.Y. Times, it's a blue gem variety of corundum",sapphire
QUASI-RELATED PAIRS,$200,21,The kernel of a peach & Foucault's famous invention,a pit & the pendulum
QUASI-RELATED PAIRS,$400,22,Former St. Louis Cardinal shortstop Smith & Ms. Beecher Stowe,Ozzie & Harriet
QUASI-RELATED PAIRS,$600,23,"""Wizard of Oz"" Ray Bolger role & Coretta's married name",
QUASI-RELATED PAIRS,$800,24,Folkster Guthrie & Moonwalker No. 2,Woody & Buzz
QUASI-RELATED PAIRS,$1000,25,A planetary satellite & half a shilling,a moon and sixpence
RELIGION,$200,12,"The 3 branches of original Protestantism were Zwinglianism, Calvinism & this ""ism""",Lutheranism
RELIGION,$400,13,The slanted bar on the Orthodox Cross may refer to these criminals flanking Jesus--one went to heaven and one didn't,the two thieves
RELIGION,$600,14,This sternly conservative Islamic movement named for an 18th century cleric is based in Arabia,Wahhabism
RELIGION,$800,15,"In 1987 Hialeah, FL banned this religion's animal sacrifices; in 1993 the Supreme Court overturned the ban",Santeria
RELIGION,$1000,16,"After initiation as a Sikh, males add this 5-letter word meaning lion to their names",Singh
THE INTERNATIONAL SPY MUSEUM,$400,4,"(Sofia of the Clue Crew narrates from the Int'l Spy Museum in Washington, D.C.)  You could give someone the kiss of death using the lipstick gun provided to employees of this Soviet spy agency",the KGB
THE INTERNATIONAL SPY MUSEUM,$800,5,"One exhibit recreates an underground secret tunnel in this German city aka ""The City of Spies""",Berlin
THE INTERNATIONAL SPY MUSEUM,$1200,6,"(Sofia of the Clue Crew narrates from the Int'l Spy Museum in Washington, D.C.)  Here is the actual mailbox used by this C.I.A. mole with an alliterative name to signal his Russian handlers",Aldrich Ames
THE INTERNATIONAL SPY MUSEUM,$1600,7,An exhibit on this famous TV French chef details the work she once did processing documents for the OSS,(Julia) Child
THE INTERNATIONAL SPY MUSEUM,$2000,10,"(Jimmy of the Clue Crew narrates from the Int'l Spy Museum in Washington, D.C.)  An umbrella with a ricin tip was used to poison this defector near Waterloo Station in 1978",Georgi Markov
TOUGH LIT,$400,1,"In this Dickens novel, there are 2 Martins, grandfather & grandson",Martin Chuzzlewit
TOUGH LIT,$800,3,"Joyce Carol Oates wrote a 1987 book ""on"" this sport, popular with another Joyce, Joyce Brothers",boxing
TOUGH LIT,$1200,24,"He dedicated his ""Barrack-Room Ballads"" to Wolcott Balestier, an American publisher who was his brother-in-law",(Rudyard) Kipling
TOUGH LIT,$1600,25,"Paging through his ""Bells and Pomegranates"", you'll pass by ""Pippa Passes""",(Robert) Browning
TOUGH LIT,$2000,26,"In 1929 the Nobel Prize for Literature was bestowed on this ""Magic Mountain"" author",Thomas Mann
WINNER OF OUR DISCONTENT,$400,19,"imdb.com's worst movies of all time includes ""From Justin to Kelly"", starring 2 performers from this TV show",American Idol
WINNER OF OUR DISCONTENT,$800,20,"This Windy City fan said in a released statement that he ""did not even see Moises Alou, much less that he may have had a play""",Steve Bartman
WINNER OF OUR DISCONTENT,"DD: $3,500",21,"This governor of New South Wales, once a sea captain, was ousted by his officers in the 1808 Rum Rebellion",Captain Bligh
WINNER OF OUR DISCONTENT,$1600,22,"In the 1930s she moved to Germany & became an English teacher for Berlitz, then did a stint on radio",Axis Sally
WINNER OF OUR DISCONTENT,$2000,23,"Thank Laurence Canter, aka ""The Father of"" this, which started as a way to sell legal services via usenet groups",spam
A BRIEF HISTORY OF THYME,$200,10,Thyme honey from the Iblei Mtns. on this large Mediterranean isle has been a delicacy for centuries,Sicily
A BRIEF HISTORY OF THYME,$400,12,"Parsley, sage, rosemary & thyme figure prominently in this hit by Simon & Garfunkel","""Scarborough Fair"""
A BRIEF HISTORY OF THYME,$600,13,"This ""elder"" Roman encyclopedist referred to thyme as a fumigant",Pliny
A BRIEF HISTORY OF THYME,$800,14,"Monks know that thyme is an ingredient in this popular upscale French liquor, one of the ""B""s in B&B;",benedictine
A BRIEF HISTORY OF THYME,$1000,15,"Thyme contains about 1% this type of ""oil"" used in fragrances & pharmaceuticals",essential oil
A CAJUN CATEGORY,$400,26,Chicken-chasing & gathering ingredients for a communal gumbo are Cajun festivities for this pre-Lenten day,Mardi Gras
A CAJUN CATEGORY,$800,27,"This Cajun favorite, deep-fried & dusted with sugar, is the state doughnut of Louisiana",a beignet
A CAJUN CATEGORY,$1200,28,"If we covered everything Cajun from A to Z, we'd finally come to this accordion-based musical style heard here",zydeco
A CAJUN CATEGORY,$1600,29,"After Louisiana, this state has the largest Cajun population, especially in areas like Port Arthur",Texas
A CAJUN CATEGORY,$2000,30,"The Cajuns are descended from the Acadians, the subject of this famous 1847 poem",Evangeline
ART & ARTISTS,$400,21,"This Dutch painter, a member of the Delft Guild, had a total output of only about 40 pictures (one with a pearl)",(Jan) Vermeer
ART & ARTISTS,$800,22,"This Englishman described his work as ""modern moral subjects... similar to representations on the stage""",(William) Hogarth
ART & ARTISTS,$1200,23,"Gericault's most famous work, ""The Raft of"" this ship, was based on a historic event & caused a political scandal",the Medusa
ART & ARTISTS,$1600,24,"His ""Jolly Toper"" of the 1600s is seen here",Franz Hals
ART & ARTISTS,$2000,25,"Minerva, Venus & Juno are the 3 being ""judged"" in this famous Claude Lorrain painting",The Judgment of Paris
BAHRAIN,$200,26,This Iberian power occupied Bahrain from 1521 until the locals asked for Persian help in 1602,
BAHRAIN,$400,27,"Bahrain is known as this ""of the Arabian Gulf"", although cultured ones are banned in the market of the same name",the Pearl
BAHRAIN,$600,28,"The 5 triangular shapes on the Bahraini flag represent these ""foundations"" of Islam",pillars
BAHRAIN,$800,29,"Bahrain's capital, it shares most of its letters with a Central American country",Manama
BAHRAIN,$1000,30,In 1971 Bahrain joined this regional organization that was formed in Cairo in 1945,the Arab League
BRIDGES TO THE FUTURE,$200,21,The new Woodrow Wilson Bridge project will connect Maryland & Virginia across this river,the Potomac
BRIDGES TO THE FUTURE,$400,22,"This 22 ½ mile Hangzhou bridge will cut 2 hours off the travel time from Ningbo to this city, China's largest",Shanghai
BRIDGES TO THE FUTURE,$600,23,The new Colorado River bridge downstream of Hoover Dam will connect these 2 adjacent states,Nevada and Arizona
BRIDGES TO THE FUTURE,DD: $500,24,"A bridge over this river will connect Vidin, Bulgaria with Calafat, Romania",
BRIDGES TO THE FUTURE,$1000,25,The Binh Bridge is being constructed for this Northern Vietnamese port city,Hai Phong
"BROADWAY CROSSWORD CLUES ""T""",$200,16,It's how modern Millie is(10),thoroughly
"BROADWAY CROSSWORD CLUES ""T""",$400,17,River City situation(7),trouble
"BROADWAY CROSSWORD CLUES ""T""",$600,18,"""No, No, Nanette"" ""beverage"" song(3, 3, 3)","""Tea For Two"""
"BROADWAY CROSSWORD CLUES ""T""",$800,19,"""Aida"" lyricist's first name(3)",Tim
"BROADWAY CROSSWORD CLUES ""T""",$1000,20,"""My One And Only"" tall Tony-winning Texan(5, 4)",Tommy Tune
GREAT BRITS,$200,6,"In 1852, this poet laureate & lord wrote his ""Ode on the Death of the Duke of Wellington""",Tennyson
GREAT BRITS,$400,7,He joined the British navy at age 12 & died at the Battle of Trafalgar 35 years later,Lord Nelson
GREAT BRITS,$600,8,"Returning from the Crusades in 1192, this English king was captured in Vienna & jailed for over a year",Richard I
GREAT BRITS,$800,9,There was no royal fun allowed when this man took power in England in 1653,Oliver Cromwell
GREAT BRITS,$1000,11,"American-born, this first woman in the House of Commons said, ""I am the kind of woman I would run from""",Lady (Nancy Witcher) Astor
LETTER PERFECT,$400,12,"This letter begins the Shakespearean sonnet ""...truant muse, what shall be thy amends...""",O
LETTER PERFECT,$800,13,"As you might expect, this is the first letter in the poem ""Song of Myself""",I
LETTER PERFECT,$1200,14,"John Doe played bass & wrote songs for this seminal punk rock band, ""discovered"" by Ray Manzarek of The Doors",X
LETTER PERFECT,$1600,15,"On a baseball scorecard, you can mark a walk with either a ""W"" or 2 of these",B
LETTER PERFECT,$2000,16,The holes in the body of a typical violin get their name from being shaped like this letter,F
POP CULTURE,$200,1,"Appropriately, Stephen King is the creator of this 2004 series based on a Danish TV production",Kingdom Hospital
POP CULTURE,$400,2,"Debuting in 1982, it was the arcade follow-up to Centipede",Millipede
POP CULTURE,$600,3,"In 2004, she starred as Jenna Rink, who's ""13 Going on 30""",Jennifer Garner
POP CULTURE,$800,4,Huey Freeman of this edgy comic strip is named after Black Panther Huey Newton,The Boondocks
POP CULTURE,$1000,5,"Not to be confused with The Doves or Vines, this Swedish band had a hit with ""Hate To Say I Told You So""",The Hives
SCIENCE & NATURE,$400,7,Samuel Schwabe got deeply into sunspots after trying to find a planet crossing the sun closer than this one,Mercury
SCIENCE & NATURE,$800,8,"A seal's these, also called vibrissae, sense vibrations in the water that can represent food",their whiskers
SCIENCE & NATURE,"DD: $1,000",9,A male moth's antennae are attuned to these released by female moths,pheromones
SCIENCE & NATURE,$1600,10,It's the wavelike muscular contractions of the alimentary canal that move food through the digestive system,peristalsis
SCIENCE & NATURE,$2000,11,Conductors allow electric current to flow & these opposite materials restrict the flow of the current,insulators (or resistors)
THE VEEP,$400,1,His father was born Theodore Anagnostopoulos,Spiro Agnew
THE VEEP,$800,17,"Vice President under Thomas Jefferson, he was the first Vice President who did not later become President",Aaron Burr
THE VEEP,"DD: $1,000",18,"This senator from Indiana who became Vice President has a city named for him--in Alaska, of all places",(Charles) Fairbanks
THE VEEP,$1600,19,"The nation's 42nd Vice President, he was born in Ceylon... Ceylon, Minnesota, that is",(Walter) Mondale
THE VEEP,$2000,20,"As Harding's running mate in 1920, he said, ""One with the law is a majority""",(Calvin) Coolidge
TOP 40 MATH,$400,2,"Tennessee Ernie Ford's ""Tons"" times Eddie Money's ""Tickets To Paradise""",32
TOP 40 MATH,$800,3,"Rolling Stones' ""Nervous Breakdown"" number plus Beatles' ""Days A Week""",27
TOP 40 MATH,$1200,4,"The Crests' ""Candles"" plus Boyz II Men's ""Season Of Loneliness""",
TOP 40 MATH,$1600,5,"The speed Sammy Hagar ""Can't Drive"" minus Three Dog Night's title ""Loneliest Number""",
TOP 40 MATH,$2000,6,"In the song's title, Zager & Evans' ""In The Year"" this minus The Commodores' ""Times A Lady""",
ANCIENT ROMAN STAND-UP COMEDY,$200,12,"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  I tell you it was so cold today... (How cold was it?) It was so cold, I wished we were back in 64 when he was emperor. Hot times, if you know what I mean!",Nero
ANCIENT ROMAN STAND-UP COMEDY,$400,13,"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  Boy, in the old days we knew how to par-tay.  You know what they say--if you can remember this festival of the god Bacchus, you weren't there!",a bacchanalia
ANCIENT ROMAN STAND-UP COMEDY,$600,14,"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  See, in this place, I like to stay in the calderium; avoid the frigidarium.  I like my tenaculum the size it is!",the baths
ANCIENT ROMAN STAND-UP COMEDY,$800,15,"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  Talk about a terrible cook!  My wife's pretty bad, but at least she never gave me poisoned figs like Livia gave this guy",Augustus Caesar
ANCIENT ROMAN STAND-UP COMEDY,$1000,16,(Jimmy of the Clue Crew delivers from an open mic in a small club.)  How about Varis's army being wiped out in the forest in this country?  That's like me being in the arena against Spartacus!,Germany
FLOWERS,$400,10,"In Shakespeare's ""Romeo & Juliet"" we learn that this flower ""by any other name would smell as sweet""",a rose
FLOWERS,$800,11,The Italians call this flower girasole because its head turns to follow the light,a sunflower
FLOWERS,$1200,12,"It's believed that this flower's scientific name Papaver came from ""pap"" because its juice was used to make babies sleepy",the poppy
FLOWERS,$1600,13,"Known as a ""fairy flower"", this bloom of the genus Digitalis has a darker side; large does of it can be poisonous",foxglove
FLOWERS,$2000,14,"Certain orchids, genus Cypripedium, are known by this feminine name, from their resemblance to delicate footwear",lady\'s slippers
GO ON A DIET,$200,18,"The company named for this woman, co-founder with her husband Sid, urges a balanced food, body & mind approach",Jenny Craig
GO ON A DIET,$400,19,All foods have a point value & you're given an assigned daily point total at a meeting in this Heinz-owned plan,Weight Watchers
GO ON A DIET,$600,20,"Whoopi Goldberg's a big loser on this ""shake""y product & diet",Slim·Fast
GO ON A DIET,$800,21,"Eating the proper balance of low-fat proteins, carbs & good fat is the key to this Dr. Sears diet",The Zone
GO ON A DIET,$1000,22,"This geographic diet's name comes from the Greek & Southern Italian consumption of grain, fruit, veggies & fish",the Mediterranean Diet
JEOPORTMANTEAU!,$400,26,"Meatpacking ""Jungle"" city plus burrowing rodent",Chicagopher
JEOPORTMANTEAU!,$800,27,Thane of Cawdor plus birthplace of Jesus,Macbethlehem
JEOPORTMANTEAU!,$1200,28,"""Book""ish nickname of fictional young detective Leroy Brown plus the doctor he might see for a check-up",Encyclopediatrician
JEOPORTMANTEAU!,$1600,29,17-year migratory insect plus creamy egg-based dessert,Locustard
JEOPORTMANTEAU!,$2000,30,Kubla Khan's stately pleasure dome site plus a quilt,Xanaduvet
LITERATURE,$400,2,"Her career as a novelist dawned with ""Dawn O'Hara""; ""Show Boat"" showed up later",Edna Ferber
LITERATURE,$800,3,Gom Gut & Plick et Plock were pseudonyms of this Inspector Maigret creator,Georges Simenon
LITERATURE,$1200,4,"Hmm... he dedicated his 1820 poem ""The Witch of Atlas"" to his wife Mary",(Percy Bysshe) Shelley
LITERATURE,$1600,5,"Lloyd Brown, once an inmate of this city's Alleghany County jail, based his novel ""Iron City"" on life there",Pittsburgh
LITERATURE,$2000,9,"""I shouldn't mind being a bride... if I could be one without having a husband"", says Bathsheba in this Hardy novel",Far From the Madding Crowd
MUSEUMS,$400,20,"A museum dedicated to this literary character is located, where else, but at ""221B"" Baker Street in London",Sherlock Holmes
MUSEUMS,$800,21,"For nearly 4 centuries, what is now the Topkapi Palace Museum was the residence of this empire's sultans",the Ottoman Empire
MUSEUMS,$1200,17,"Appropriately, this vast Russian art museum houses the icon of St. Nicholas seen here",the Hermitage
MUSEUMS,$1600,18,"The Vasamuseet in Stockholm houses one of the oldest complete examples of these, the Vasa",a ship
MUSEUMS,"DD: $6,000",19,"There are museums devoted to this writer in Nairobi, Kenya & in Rungstedlund, Denmark",Isak Dinesen (aka Karen Blixen
PROVERBIOS EN ESPAÑOL,$200,1,"""El silencio es oro""",silence is golden
PROVERBIOS EN ESPAÑOL,$400,2,"""El fin justifica los medios""",the end justifies the means
PROVERBIOS EN ESPAÑOL,$600,3,"""El amor es ciego""",love is blind
PROVERBIOS EN ESPAÑOL,$800,4,"""La pluma es mas poderosa que la espada""",the pen is mightier than the sword
PROVERBIOS EN ESPAÑOL,"DD: $1,000",5,"""Las malas noticias viajan rapido""",bad news travels fast
THE 3rd FILM IN THE SERIES,$200,7,"The year Stallone debuted the first of the 3 ""Rambo"" films he also appeared in the 3rd film in this series",Rocky
THE 3rd FILM IN THE SERIES,$400,11,"This character was the object of the title search in ""Star Trek III""",Spock
THE 3rd FILM IN THE SERIES,$600,23,"In a 1990 film in this series, Marty travels to 1885 to save Doc Brown",Back to the Future
THE 3rd FILM IN THE SERIES,$800,24,"""With a Vengeance"", not ""III"", came after this in the title of a 1995 film",Die Hard
THE 3rd FILM IN THE SERIES,$1000,25,"Lorraine Axeman, one of our researchers, was an extra in ""Army of Darkness"", Sam Raimi's 3rd film in this Series",The Evil Dead
THE GREAT AMERICAN SONGBOOK,$400,16,"His first published song was 1909's ""Marie from Sunny Italy""; later ones include ""Cheek to Cheek"" & ""Easter Parade""",Irving Berlin
THE GREAT AMERICAN SONGBOOK,$800,22,"This song complains, ""Since my gal and I ain't together keeps raining all the time""","""Stormy Weather"""
THE GREAT AMERICAN SONGBOOK,$1200,23,"Dorothy Fields, the most successful female theater lyricist of the 20th century, wrote the words to this classic","""A Fine Romance"""
THE GREAT AMERICAN SONGBOOK,$1600,24,"The last song George Gershwin composed, its title is followed by the line ""not for a year, but ever and a day""","""Our Love Is Here To Stay"""
THE GREAT AMERICAN SONGBOOK,$2000,25,"In ""You're The Top"", this American wrote, ""But if this ditty is not so pretty, at least it'll tell you how great you are""",Cole Porter
THE WOMEN OF CONGRESS,$400,1,"""An Invitation to the White House"" is a bestseller by this current senator",(Hillary) Clinton
THE WOMEN OF CONGRESS,$800,6,"Judy Biggert represents this state's 13th District, which includes parts of DuPage, Will & Cook counties",Illinois
THE WOMEN OF CONGRESS,"DD: $1,200",7,In 2003 Republican Lisa Murkowski took the oath of office as this state's sixth U.S. Senator since statehood,Alaska
THE WOMEN OF CONGRESS,$1600,8,Republican Barbara Cubin represents this state in the House all by herself,Wyoming
THE WOMEN OF CONGRESS,$2000,15,"It's the last name of California Reps. Loretta & Linda, the first sisters in Congress",Sanchez
WEBSITES,$200,26,"Look up your car's trade-in value & get new car pricing at kbb.com; KBB, short for this",Kelley Blue Book
WEBSITES,$400,27,"""Bush regales dinner guests with impromptu oratory on Virgil's minor works"", this satirical news website headlined",The Onion
WEBSITES,$600,28,"This 6-letter .com claims to find ""the right answer for... every one"" of the 200 million queries its users have daily",Google
WEBSITES,$800,29,"At him online.com, visitors have hit a link to his golf club, applied for a job on his NBC show & basked in his excess",Trump
WEBSITES,$1000,30,"This abbreviation .gov promises that the organization is ""bringing safety to America's skies""",FAA
YANGTZE DOODLE,$200,6,The Grand Canal connects the Yangtze River to this other major river,the Yellow River
YANGTZE DOODLE,$400,8,The 2 rivers in the world that are longer than the Yangtze,the Amazon and the Nile
YANGTZE DOODLE,$600,9,The Yangtze flows through this province that's China's most populous & known for its spicy cuisine,Szechuan
YANGTZE DOODLE,$800,10,"Native to the Yangtze river valley, this fruit is also known as a Chinese gooseberry",a kiwi
YANGTZE DOODLE,$1000,17,"This dam, one of the world's largest when completed, is being built on the Yangtze to control flooding",the Three Gorges Dam
AFRICAN CAPITALS,$400,16,This capital was founded by North American settlers in 1822,Monrovia
AFRICAN CAPITALS,"DD: $1,500",17,In 1993 18 U.S. soldiers were killed in a fierce battle in this capital,Mogadishu
AFRICAN CAPITALS,$1200,18,This picturesque Moorish city lies about 60 miles northeast of Casablanca,Rabat
AFRICAN CAPITALS,$1600,19,Tourist attractions in this city near Africa's northern tip include the ruins of Carthage & other Punic towns,Tunis
AFRICAN CAPITALS,$2000,20,"Muhammad Ali's ""Rumble in the Jungle"" with George Foreman was fought in this city, then the capital of Zaire",Kinshasa
ALBUMS,$400,6,"9 of the top 20 bestselling country albums, including ""Ropin' the Wind"" & ""The Chase"", are by this superstar",Garth Brooks
ALBUMS,$800,7,"""Independent Women, Part I"" from Destiny's Child's ""Survivor"" CD was the theme for this 2000 Cameron Diaz film",Charlie\'s Angels
ALBUMS,$1200,8,"In the 1990s this saxophonist had 4 albums go multi-platinum; ""Breathless"" sold over 12 million",Kenny G
ALBUMS,$1600,9,"This Cleveland quintet's album ""E. 1999 Eternal"" was produced by the late rapper Eazy-E",Bone Thugs-n-Harmony
ALBUMS,$2000,10,"The song heard here kicks off ""Let It Be"" by these cult favorites from Minnesota""Meet me anyplace or anywhere or anytime...""",The Replacements
HODGEPODGE,$200,11,"Don't slip on this one:  some Africans eat matoke & drink waragi, both made from this fruit",bananas
HODGEPODGE,$400,12,"World Book says most of these are at least 7 inches long, have a knob on one end & are used to make scarves",knitting needles
HODGEPODGE,$600,13,"This often quiet Frenchman said Michael Jackson's Moonwalk was influenced by his own ""Walking Against the Wind""",Marcel Marceau
HODGEPODGE,$800,14,"She gave Kenilworth Castle to Robert Dudley, who was (wink, wink) a ""favorite"" of hers",Queen Elizabeth I
HODGEPODGE,$1000,15,"The Captain & Tennile would ""love"" this capital of Oman",Muscat
HUMAN EVOLUTION,$400,21,Ben Franklin defined man as an animal that makes these; we started making them more than 2 million years ago,tools
HUMAN EVOLUTION,$800,22,"From the size of these body parts, Australopithecus boisei became known as ""Nutcracker Man""",the teeth
HUMAN EVOLUTION,$1200,23,These Pleistocene cave-dwellers whose name is synonymous with brutishness had bigger brains than we do,Neanderthals
HUMAN EVOLUTION,$1600,24,"5 million years ago our ancestors said, ""See ya, wouldn't want to be ya!"" to this living creature, genus Pan",the chimp(anzee)
HUMAN EVOLUTION,$2000,25,"Discovered in 1984, the Nariokotome boy was assigned to this species of standup guys from 1 ½ million B.C.",Homo erectus
"I DON'T GIVE A ""WHIT""",$200,16,"In 1817 this inventor married Henrietta Edwards, the granddaughter of theologian Jonathan Edwards",(Eli) Whitney
"I DON'T GIVE A ""WHIT""",$400,17,"From the Middle English for ""to cut down"", old men seem to like to wile their time away doing it",whittling
"I DON'T GIVE A ""WHIT""",$600,18,"This Southern California city was founded by Quakers in 1887; it was home to Pio Pico, the state's last Mexican gov.",Whittier
"I DON'T GIVE A ""WHIT""",$800,19,"In one of his poems, he described himself as ""one of the roughs, a kosmos, disorderly fleshy and sensual""",Whitman
"I DON'T GIVE A ""WHIT""",$1000,20,Pentecost,Whit Sunday
IN OLD ENCYCLOPEDIAS,$200,1,The 1967 Compton's article on this now-defunct country shows a woman from Kharkov with steel teeth,the USSR
IN OLD ENCYCLOPEDIAS,$400,2,"Britannica's third edition (1788) says, ""the utility of"" this tuber ""to the common people is well known""",the potato
IN OLD ENCYCLOPEDIAS,$600,3,A 1970 Grolier's article on these called the magnetic drum the most used storage medium,computers
IN OLD ENCYCLOPEDIAS,$800,4,"In the 1982 Webster's Desk Encyclopedia, it was ""a South-east Asian nation formerly called Cambodia""",Kampuchea
IN OLD ENCYCLOPEDIAS,"DD: $1,000",5,"In a 1989 Columbia, ""many feel"" this harsh system formalized in 1948, ""will end only by force"" (many are wrong)",apartheid
OPERA,$400,1,This 1893 opera based on a children's tale is set partly in the woods of Ilsenstein,Hansel and Gretel
OPERA,$800,2,"A 1913 opera about this queen of Ithaca is based on an episode from ""The Odyssey""",
OPERA,DD: $400,3,Eva has to marry the winner of a singing contest in Nuremberg in this comic opera by Wagner,Die Meistersinger (von Nürnburg)
OPERA,$1600,4,"In 2004 the Royal Opera dropped soprano Deborah Voigt from ""Ariadne Auf Naxos"" for this reason",she was too heavy
OPERA,$2000,5,"The name of this comic opera by Mozart is sometimes translated as ""So Do They All""",Così fan tutte
PBS' ELECTRIC COMPANY,$200,21,"He played Easy Reader & Mel Mound the DJ; in 2003 he was God ""Almighty""",Morgan Freeman
PBS' ELECTRIC COMPANY,$400,22,"""Hey you guys!""  Born Rosita Dolores Alverio, her acting resume goes from ""West Side Story"" to ""E.C."" to HBO's ""Oz""",Rita Moreno
PBS' ELECTRIC COMPANY,$600,23,He played Al the Milkman in 1972 & 14 years later had the No. 1 TV show in America,Bill Cosby
PBS' ELECTRIC COMPANY,$800,24,"This composer of ""Poisoning Pigeons In The Park"" penned the songs ""Silent E"" and ""L-Y"" for the show",Tom Lehrer
PBS' ELECTRIC COMPANY,$1000,25,"She's gonna live forever as an ""E.C."" short circus member & an Oscar winner for a song from ""Flashdance""",(Irene) Cara
RENAISSANCE ART,$400,26,The architect Brunelleschi created this engineering wonder for the Florence Cathedral,the dome
RENAISSANCE ART,$800,27,"Cosimo de Medici's patronage of Donatello led to the creation of this life-size nude, bronze sculpture in the 1430s",David
RENAISSANCE ART,$1200,28,Lorenzo Ghiberti created doors for the Baptistry of St. John; the luminous result was named this by Michelangelo,The Gates of Paradise
RENAISSANCE ART,$1600,29,"Known for his Madonnas, this early 16th century artist designed tapestries for Pope Leo X for the Sistine Chapel",Raphael
RENAISSANCE ART,$2000,30,"Pyres of Vanity, the bonfires that destroyed works of art, were lit by this monk, the Medici's most virulent enemy",(Girolamo) Savonarola
SEARCH: ENGINES,$400,11,"This type of engine takes in air, compresses it, & thrusts it out the back",jet
SEARCH: ENGINES,$800,12,"Originally a traveling salesman, Nikolaus August Otto invented the 4-stroke type of this engine",gas
SEARCH: ENGINES,$1200,13,The first practical type of this engine was built by the English inventor Thomas Newcomen in 1712,steam
SEARCH: ENGINES,$1600,14,"These trucks use two engines--one to propel the vehicle, the other to drive the pump",fire
SEARCH: ENGINES,$2000,15,This is the shortened word for the engine type as well as for the plane that uses it,prop
SPLIT OWNERSHIP,$200,6,The Matterhorn,Switzerland & Italy
SPLIT OWNERSHIP,$400,7,Hispaniola,Haiti & the Dominican Republic
SPLIT OWNERSHIP,$600,8,Mount Everest,Nepal & China
SPLIT OWNERSHIP,$800,9,New Guinea,Papua New Guinea & Indonesia
SPLIT OWNERSHIP,$1000,10,Lake Titicaca,Peru & Bolivia
STARBUCKS,$200,26,(Jimmy of the Clue Crew spoons steamed & foamed milk into a cup of espresso behind a counter of a Starbucks in Seattle.)  Espresso with steamed & foamed milk was given this Italian name because the color was similar to a monk's habit,cappuccino
STARBUCKS,$400,27,"Though caramel is Starbucks' most popular flavor, some prefer the chocolate brownie flavor of this blended drink",frappuccino
STARBUCKS,$600,28,"(Sofia of the Clue Crew works counter duty at a Starbucks in Seattle.)  ""Half-caf grande skinny toffee nut latte""--the ""skinny"" part means the drink is to be made with this",skim milk
STARBUCKS,$800,29,1 of the 2 African countries in names of Starbucks coffee beans,Kenya (or Ethiopia)
STARBUCKS,$1000,30,(Jimmy of the Clue Crew stands at a Starbucks sales display in Seattle.)  Starbucks preserves forests by promoting this type of coffee from plants under the canopies of native trees,shade coffee
AMERICANS IN PARIS,$200,16,"The avant-garde author of ""Three Lives"", her home was a salon for emerging artists such as Picasso & Braque",(Gertrude) Stein
AMERICANS IN PARIS,$400,17,"While in Paris, poet & critic Ezra Pound helped little-known talent T.S. Eliot edit this 1922 poem","""The Waste Land"""
AMERICANS IN PARIS,$600,18,"This ""Fanfare for the Common Man"" composer sold his first work while studying with Nadia Boulanger in Paris",(Aaron) Copland
AMERICANS IN PARIS,"DD: $1,000",19,Alexander Calder made one of his first wire sculptures in the image of this expatriate singer/dancer,Josephine Baker
AMERICANS IN PARIS,$1000,20,"During his self-exile, he voiced the strife of black Americans in books like 1961's ""Nobody Knows My Name""",James Baldwin
ANAGRAMMED WEST WING STARS,$200,6,Hail to the chief:ART MEN SHINE,Martin Sheen
ANAGRAMMED WEST WING STARS,$400,7,"She ""presses"" on:SOLE JAIL NANNY",Allison Janney
ANAGRAMMED WEST WING STARS,$600,8,"We're still ""laugh-in"" at her:O MY ILL LINT",Lily Tomlin
ANAGRAMMED WEST WING STARS,$800,9,"Quite a ""lady"":DANCING CART HONKS",Stockard Channing
